,0,1,2,3,4,5,6,7,8,TeamAgg
0,Atlanta Hawks,3,p,-,p,-,p,p,-,ATL
1,Boston Celtics,3,-,p,-,p,-,p,-,BOS
2,Brooklyn Nets,3,p,-,-,p,p,-,p,BKN
3,Charlotte Hornets,3,p,-,p,-,p,p,-,CHA
4,Chicago Bulls,2,p,-,p,-,p,p,-,CHI
5,Cleveland Cavaliers,3,p,-,p,-,p,-,p,CLE
6,Dallas Mavericks,3,p,-,-,p,-,p,-,DAL
7,Denver Nuggets,2,p,-,p,-,p,-,p,DEN
8,Detroit Pistons,3,-,p,-,p,-,-,p,DET
9,Golden State Warriors,3,p,-,p,-,p,p,-,GSW
10,Houston Rockets,2,p,-,-,p,-,p,-,HOU
11,Indiana Pacers,3,p,-,p,-,p,-,p,IND
12,LA Clippers,3,-,p,-,p,-,p,-,LAC
13,Los Angeles Lakers,3,-,p,-,-,p,-,p,LAL
14,Memphis Grizzlies,3,-,p,-,-,p,-,p,MEM
15,Miami Heat,3,p,-,-,p,-,p,p,MIA
16,Milwaukee Bucks,3,p,-,p,-,p,-,p,MIL
17,Minnesota Timberwolves,3,p,-,p,-,-,p,p,MIN
18,New Orleans Pelicans,2,p,-,p,-,p,-,p,NOP
19,New York Knicks,3,p,-,p,-,p,p,-,NYK
20,Oklahoma City Thunder,3,p,-,p,-,p,-,p,OKC
21,Orlando Magic,3,p,-,p,-,p,-,p,ORL
22,Philadelphia 76ers,2,-,p,-,p,-,p,-,PHI
23,Phoenix Suns,3,p,-,p,-,p,-,p,PHX
24,Portland Trail Blazers,3,p,-,p,-,p,p,-,POR
25,Sacramento Kings,3,-,p,-,p,p,-,p,SAC
26,San Antonio Spurs,3,p,-,p,-,p,p,-,SAS
27,Toronto Raptors,3,p,-,p,-,-,p,-,TOR
28,Utah Jazz,2,-,p,-,p,-,p,-,UTA
29,Washington Wizards,3,p,-,p,-,p,-,p,WAS
